,id,price,bedrooms,bathrooms,living_area,land_area,floors,water_view,view_level,living_condition,construction_design,living_area_over_ground,basement,year_built,renovation,latitude,longitude,living_area_neighbors,land_area_neighbors,month_sale,year_sale,season_sale,region,construction_design_num
0,2572400100,302000.0,3,1.0,1600,1950,2,No,0,2,Average Quality,1600,No,1906,No,47.6028,-122.31200000000001,1310,1138,11,2014,Fall,Central,2
1,6817801030,280000.0,3,1.0,1160,10881,1,No,0,2,Average Quality,920,Yes,1983,No,47.6339,-122.03299999999999,1280,10843,4,2015,Spring,Central,2
2,203101370,170000.0,2,1.0,1200,24792,2,No,0,2,Average Quality,1200,No,1976,No,47.6337,-121.961,2150,24792,6,2014,Spring,Central,2
3,6817800330,405000.0,2,1.0,1090,10481,1,No,0,2,Average Quality,780,Yes,1981,No,47.632,-122.03,1160,10533,8,2014,Summer,Central,2
4,2128000160,429000.0,4,1.75,2160,7700,2,No,0,2,Average Quality,2160,No,1977,No,47.6976,-122.169,2080,7700,12,2014,Fall,North,2
5,5589900590,400000.0,2,1.75,2110,9519,1,No,0,2,Average Quality,2110,No,1948,No,47.7504,-122.306,1480,9519,5,2014,Spring,North,2
6,6844702290,400000.0,2,1.0,1470,6120,1,No,0,2,Average Quality,1470,No,1940,No,47.6914,-122.287,1840,6120,5,2014,Spring,North,2
7,3821200050,119500.0,3,1.0,1170,11000,1,No,0,2,Average Quality,1170,No,1980,No,47.7346,-121.98299999999999,1590,10894,6,2014,Spring,North,2
8,8024200010,312000.0,2,1.0,1460,6000,1,No,0,2,Average Quality,1260,Yes,1925,No,47.7009,-122.31700000000001,1580,6380,10,2014,Fall,North,2
9,6668900020,420550.0,4,2.0,1370,8100,1,No,0,2,Average Quality,1370,No,1947,No,47.748999999999995,-122.31200000000001,1280,8100,3,2015,Winter,North,2
10,7518505160,417000.0,2,1.0,1190,5100,1,No,0,2,Average Quality,1190,No,1928,No,47.6773,-122.382,1920,5100,9,2014,Summer,North,2
11,1771100330,250000.0,3,2.5,1510,10384,1,No,0,2,Average Quality,1030,Yes,1976,No,47.758,-122.071,1490,10000,6,2014,Spring,North,2
12,7977201065,350000.0,3,1.75,1380,4590,1,No,0,2,Average Quality,930,Yes,1950,No,47.6841,-122.29299999999999,1320,4692,11,2014,Fall,North,2
13,2919201385,275000.0,2,1.0,680,4190,1,No,0,2,Average Quality,680,No,1906,No,47.6901,-122.35799999999999,1070,4175,11,2014,Fall,North,2
14,2568300045,305000.0,6,2.0,1900,8240,1,No,0,2,Average Quality,1200,Yes,1964,No,47.7037,-122.296,1900,8240,6,2014,Spring,North,2
15,4023500990,260000.0,3,1.5,1270,20700,1,No,0,2,Average Quality,1150,Yes,1948,No,47.7576,-122.296,1990,15000,6,2014,Spring,North,2
16,3626079032,396400.0,4,2.5,2120,215186,2,No,0,2,Average Quality,2120,No,1983,No,47.701,-121.85700000000001,2000,215186,7,2014,Summer,North,2
17,3226049267,289500.0,3,1.0,1200,5525,1,No,0,2,Average Quality,1200,No,1947,No,47.6981,-122.325,1580,7200,4,2015,Spring,North,2
18,3935900232,207000.0,3,1.0,920,5546,1,No,0,2,Average Quality,920,No,1928,No,47.7114,-122.28399999999999,1300,5546,9,2014,Summer,North,2
19,2767800065,429000.0,2,1.0,1010,5000,1,No,0,2,Average Quality,1010,No,1924,No,47.6715,-122.365,1410,5000,1,2015,Winter,North,2
20,2126079124,375000.0,4,2.0,1790,61419,2,No,2,2,Average Quality,1790,No,1988,No,47.7216,-121.90700000000001,1790,62290,4,2015,Spring,North,2
21,1233100351,305000.0,3,1.0,1150,9048,1,No,0,2,Average Quality,1150,No,1922,No,47.6755,-122.177,1550,8207,12,2014,Fall,North,2
22,1454100010,338500.0,2,1.0,720,6050,1,No,0,2,Average Quality,720,No,1951,No,47.7259,-122.29,1480,7280,2,2015,Winter,North,2
23,3326079016,190000.0,2,1.0,710,1164794,1,No,0,2,Average Quality,710,No,1915,No,47.6888,-121.90899999999999,1680,16730,5,2015,Spring,North,2
24,2922703235,290000.0,1,1.0,550,5700,1,No,0,2,Average Quality,550,No,1916,No,47.6846,-122.366,1100,4560,11,2014,Fall,North,2
25,7895500070,240000.0,4,1.0,1220,8075,1,No,0,2,Average Quality,890,Yes,1969,No,47.3341,-122.28200000000001,1290,7800,2,2015,Winter,Southeast,2
26,1665400045,186375.0,3,1.0,1000,7636,1,No,0,2,Average Quality,1000,No,1952,No,47.472,-122.344,1150,7600,4,2015,Spring,Southeast,2
27,1498302774,271310.0,2,1.0,870,5340,1,No,0,2,Average Quality,870,No,1906,No,47.5849,-122.302,1190,4440,5,2014,Spring,Southeast,2
28,1796100140,170000.0,3,1.5,1350,81549,1,No,0,2,Average Quality,1350,No,1966,No,47.3099,-122.09,2220,93825,7,2014,Summer,Southeast,2
29,7229700105,172500.0,2,2.0,1510,20685,1,No,0,2,Average Quality,1250,Yes,1958,No,47.481,-122.116,1490,29527,4,2015,Spring,Southeast,2
30,9407110710,195000.0,3,1.75,1510,8400,1,No,0,2,Average Quality,980,Yes,1979,No,47.4476,-121.771,1500,10125,11,2014,Fall,Southeast,2
31,423059184,180000.0,3,1.0,1960,9583,2,No,0,2,Average Quality,1960,No,1908,No,47.505,-122.171,1850,8324,12,2014,Fall,Southeast,2
32,3812400657,160000.0,3,1.0,1200,8360,1,No,0,2,Average Quality,1200,No,1948,No,47.5414,-122.281,1570,6823,12,2014,Fall,Southeast,2
33,7135300026,160000.0,2,2.0,1040,4750,1,No,0,2,Average Quality,850,Yes,1950,No,47.5293,-122.272,1350,5000,12,2014,Fall,Southeast,2
34,9407101380,189000.0,3,2.0,1460,11481,1,No,0,2,Average Quality,1170,Yes,1995,No,47.4493,-121.777,1540,9680,12,2014,Fall,Southeast,2
35,3422059085,157340.0,2,1.0,900,23000,1,No,0,2,Average Quality,900,No,1953,No,47.3576,-122.156,1460,8265,3,2015,Winter,Southeast,2
36,5152600090,235500.0,5,2.5,2340,13713,1,No,0,2,Average Quality,1670,Yes,1967,No,47.3307,-122.324,2080,11000,7,2014,Summer,Southeast,2
37,9262800057,269950.0,4,1.0,1440,9600,1,No,0,2,Average Quality,1440,No,1964,No,47.3168,-122.264,1740,43560,2,2015,Winter,Southeast,2
38,87000245,170000.0,3,0.75,1040,42180,1,No,0,2,Average Quality,1040,No,1947,No,47.4518,-122.199,1270,24090,9,2014,Summer,Southeast,2
39,3332000195,167500.0,3,1.0,760,3090,1,No,0,2,Average Quality,760,No,1903,No,47.5513,-122.275,1020,5356,9,2014,Summer,Southeast,2
40,2690600005,162500.0,2,1.0,760,6141,1,No,0,2,Average Quality,760,No,1920,No,47.5469,-122.277,900,4120,10,2014,Fall,Southeast,2
